,0
0,Yeah
1,"Oh, yeah, uh"
2,"Ooh, Thugger, yeah"
3,Yeah
4,Travis Scott
5,"Thugger, Thugger, bitch"
6,Yeah
7,I pour a four up
8,I call your ho up
9,Just to fuck her and show her
10,I just went got my dough up
11,Pullin' off and I'm gone
12,Then I go and pour four up
13,Then I roll up that roll-up
14,Then I'm callin' your ho up
15,"Pick up the phone, baby"
16,"I know you're home, baby"
17,"I'm in the zone, baby"
18,"I just poured up a four, baby"
19,Never will I cheat on you
20,Never will I commit treason
21,Blowin' a bag on you
22,Do all of that for no reason
23,I'ma pull up MR2
24,Hittin' the block and I'm bleedin'
25,Throwing that Rollie on you
26,"I like the way it be freezin', yeah"
27,"Pick up the phone, baby"
28,"I know you're home, baby"
29,"I'm in the zone, baby"
30,"I just poured up a four, baby"
31,Pour up a four of that Actavis
32,Lean like my motherfuckin' granny did
33,Super Bowl ring with big-body Benz
34,"I stacked it up, now I'm just better livin'"
35,"Got screws in my mouth, I'm just preppin' it"
36,"I'm fucking this cash, I'm not celibate"
37,I'm packin' it out like a reverend
38,"I need all this cash, I got hella kids"
39,I'ma play dumb and get left in the middle
40,"Back the fuck up, you too little"
41,Hit 'em with three like I'm Miller
42,I don't talk to no man in the middle
43,"I don't talk to no man, I'm just kiddin'"
44,But I did pay my sister's tuition
45,"I feel lucky, I should play the lottery"
46,Walkin' off with it like Sonny Liston
47,Mama told me I'm her brightest star
48,Mama told me don't hate on the law
49,Because everybody got a job
50,Because everybody wanna be a star
51,Please believe every motherfucker around here wan' be a part
52,She gon' do anything in her power to be with ya boy
53,"Pick up the phone, baby"
54,"I know you're home, baby"
55,"I'm in the zone, baby"
56,"I just poured up a four, baby"
57,Never will l cheat on you
58,Never will I commit treason
59,Blowin' a bag on you
60,Do all of that for no reason
61,I'ma pull up MR2
62,Hittin' the block and I'm bleedin'
63,Throwin' that Rollie on you
64,"I like the way you be freezin', yeah"
65,Pick up the phone
66,"Macaulay Culkin, baby, Home Alone"
67,I thought I was right
68,"Then I had to man up, I was wrong"
69,I hate when we fight
70,She in love with the pipe
71,"I draped her up in ice, I pour my four on ice"
72,Birds in the trap sing Brian McKnight
73,"Percocet and codeine, please don't take my life"
74,She had a dream with Céline so I bought it twice
75,Young nigga make it right back tonight
76,"Girl, you're so cute and your ass is nice"
77,Drinkin' on four and I'm shootin' dice
78,"Wrist polar bear, Klondike"
79,And I'm loving all races
80,"Hell nah, don't discriminize"
81,"Drinkin' on clean, sanitize"
82,Ostrich seats with the frog eyes
83,"If I ever call your phone, baby"
84,Best believe it's only one time
85,"Pick up the phone, baby"
86,"I know you're home, baby"
87,"I'm in the zone, baby"
88,"I just poured up a four, baby"
89,Never will l cheat on you
90,Never will I commit treason
